Al,Sb,As,Ba,Be,Cd,Ca,Cr,Cr,Co,Cu,Fe,Pb,Mg,Mn,Hg,Mo,Ni,NITRITE_NITRATE_UG_G_DRY,N,P,K,Se,Ag,Na,Na,Sr,S,Tl,Ti,U,V,Zn
9960,0.05,2.4,31.0,0.3,0.19,4360.0,0.5,11.0,3.4,8.0,11470,22,1694,128,0.05,0.05,4.8,5.3,230000.0,0.72,1420,0.3,0.06,0.68,131,15,65000.0,0.5,2640,0.7,20,41
10500,0.2,3.4,29.7,0.3,0.14,3940.0,0.5,11.0,3.5,7.0,11590,24,1600,138,0.05,0.05,5.0,5.5,230000.0,0.71,1350,0.09,0.17,0.63,120,13,73000.0,0.5,2610,0.7,20,40
32200,0.12,4.5,129.0,1.1,0.22,7690.0,0.5,37.0,13.8,19.0,34900,30,7680,849,0.06,0.05,21.1,5.8,410000.0,0.79,7060,0.4,0.21,0.22,128,48,94000.0,0.5,4010,1.2,52,91
29400,0.2,5.5,119.0,1.0,0.28,7890.0,0.5,35.0,12.8,17.0,33900,30,7200,812,0.06,0.05,20.0,6.3,520000.0,0.9,6660,0.4,0.2,0.186,116,47,99000.0,0.5,3890,1.2,49,93
28200,0.05,4.7,116.0,1.0,0.21,7990.0,0.5,31.0,11.2,17.0,32100,28,6870,742,0.06,0.05,17.4,5.5,440000.0,0.78,6220,0.4,0.2,0.2,117,43,89000.0,0.5,4020,1.1,46,80
10700,0.6,3.6,34.6,0.4,0.21,2260.0,0.5,14.0,5.5,25.0,16600,22,2670,740,0.03,0.05,9.8,8.2,140000.0,0.69,2210,0.11,0.06,0.182,83,10,50000.0,0.5,2800,0.8,23,57
10600,0.3,4.9,38.8,0.4,0.22,2570.0,0.5,14.0,5.6,26.0,17100,22,2790,762,0.02,0.05,9.7,8.8,130000.0,0.67,2490,0.05,0.12,0.147,107,12,36000.0,0.5,2640,0.7,24,56
10800,0.08,5.2,37.6,0.4,0.2,2230.0,0.5,13.0,5.5,26.0,16300,24,2650,730,0.03,0.05,9.6,12.4,130000.0,0.7,2100,0.05,0.08,0.164,88,11,34000.0,0.5,2760,0.8,23,59
30000,0.05,7.0,161.0,1.2,0.69,7360.0,0.5,31.0,19.2,18.0,29400,44,7390,2710,0.1,0.05,21.6,34.3,330000.0,0.85,5080,0.6,0.24,0.25,77,35,82000.0,0.5,5030,1.2,45,116
28900,0.05,7.7,164.0,1.1,0.78,6690.0,0.5,30.0,16.9,18.0,28600,40,7580,2570,0.13,0.05,23.3,19.2,330000.0,0.92,5060,0.5,0.23,0.28,79,31,82000.0,0.5,5370,1.3,4,114
