Al,Sb,As,Ba,Be,Cd,Ca,Cr,Cr,Co,Cu,Fe,Pb,Mg,Mn,Hg,Mo,Ni,NITRITE_NITRATE_UG_G_DRY,N,P,K,Se,Ag,Na,Na,Sr,S,Tl,Ti,U,V,Zn
6870,0.05,2.2,58.4,0.2,0.25,1610.0,0.5,14.0,4.5,7.0,21700,29,1087,509,0.11,0.2,4.0,51.5,330000.0,0.62,567,0.7,0.14,0.184,98,9,77000.0,0.9,4930,0.4,50,35
6580,0.05,2.5,55.7,0.2,0.28,1496.0,0.5,13.0,4.1,7.0,20800,25,1010,385,0.08,0.06,4.0,42.4,320000.0,0.58,555,0.8,0.16,0.153,90,9,64000.0,0.7,5210,0.4,51,30
18230,0.2,1.5,97.1,0.6,0.21,7750.0,0.5,27.0,9.5,15.0,26700,26,4780,385,0.04,0.1,13.2,1.7,140000.0,0.69,2790,0.2,0.03,0.26,290,21,42000.0,0.7,3510,0.8,39,53
16890,0.8,4.7,93.1,0.6,0.16,7170.0,0.5,27.0,9.1,14.0,24800,27,4750,379,0.04,0.05,12.7,2.1,160000.0,0.63,2750,0.5,0.08,0.296,278,21,42000.0,0.5,3240,1.1,41,57
18050,0.4,4.9,101.0,0.6,0.17,7410.0,0.5,28.0,9.4,19.0,25600,26,4860,387,0.03,0.05,13.1,2.7,160000.0,0.66,2760,0.5,0.04,0.393,274,22,44000.0,0.5,4390,1.1,41,59
10340,0.05,5.1,47.0,0.3,0.22,2120.0,0.5,15.0,4.3,5.0,22800,24,1727,972,0.04,0.05,5.1,0.1,110000.0,0.63,606,0.6,0.02,0.113,101,8,24000.0,0.5,3860,0.8,33,54
10710,0.6,5.5,43.6,0.4,0.19,2190.0,0.5,16.0,4.9,5.0,26400,24,1831,929,0.04,0.05,5.4,0.1,110000.0,0.65,639,0.4,0.06,0.125,108,9,19000.0,0.5,4160,0.9,39,59
10400,0.4,6.1,44.1,0.3,0.22,2080.0,0.5,14.0,4.6,5.0,23100,27,1742,896,0.03,0.05,5.3,0.5,120000.0,0.67,591,0.6,0.02,0.107,96,9,29000.0,0.5,3260,0.9,35,56
15660,0.05,1.7,80.7,0.5,0.16,8700.0,0.5,23.0,8.3,13.0,21200,14,4200,444,0.0,0.05,13.8,8.6,210000.0,0.8,3450,0.3,0.11,0.132,469,25,25000.0,0.5,3280,1.9,42,55
15980,0.05,1.8,84.6,0.6,0.16,7760.0,0.5,24.0,8.1,15.0,19800,13,4390,437,0.04,0.05,13.4,5.9,220000.0,0.77,3140,0.4,0.06,0.217,548,23,36000.0,0.5,3210,0.8,40,55
14760,0.05,2.0,35.7,0.5,0.15,38400.0,0.5,18.0,5.9,7.0,18760,13,3700,566,0.03,0.05,7.0,4.0,210000.0,1.07,2870,0.25,0.08,0.081,272,66,34000.0,0.5,3310,0.8,35,35
16730,0.05,2.2,48.6,0.5,0.24,29600.0,0.5,20.0,6.6,9.0,23200,16,4120,871,0.05,0.05,8.1,6.3,180000.0,0.85,3240,0.25,0.02,0.085,246,51,39000.0,0.5,3730,0.7,30,48
11850,0.05,1.9,37.6,0.4,0.17,39100.0,0.5,15.0,4.8,8.0,18070,13,3430,626,0.04,0.05,6.1,3.8,190000.0,0.9,2640,0.19,0.03,0.114,226,60,56000.0,0.5,3620,0.8,25,34
14410,0.2,59.0,239.0,0.5,0.93,9210.0,0.5,29.0,16.4,57.0,18460,57,4420,2000,0.12,0.4,20.3,0.7,460000.0,0.85,2840,0.4,0.15,0.46,182,56,110000.0,0.5,2490,0.8,33,138
11350,0.05,5.1,71.9,0.3,0.13,3650.0,0.5,25.0,9.8,53.0,18560,33,3050,364,0.05,0.05,17.8,0.7,190000.0,0.36,623,0.4,0.03,0.298,135,16,27000.0,0.5,2430,0.5,41,72
11410,0.05,4.8,66.4,3.9,0.1,3490.0,0.5,23.0,10.7,42.0,16920,23,2920,412,0.05,0.05,18.7,0.5,140000.0,0.33,478,0.5,0.04,0.283,144,17,24000.0,0.5,1970,0.5,36,49
10400,0.2,4.6,58.9,4.0,0.14,3280.0,0.5,25.0,10.1,42.0,17770,19,3130,378,0.04,0.05,17.7,0.6,130000.0,0.33,491,0.5,0.03,0.334,130,17,21000.0,0.5,2050,0.6,41,52
13840,0.08,1.7,43.4,0.4,0.06,2130.0,0.5,16.0,5.2,5.0,15430,12,1524,155,0.04,0.05,7.5,0.5,150000.0,0.33,427,0.4,0.02,0.146,140,15,18000.0,0.5,2400,0.7,40,25
10300,0.05,2.0,55.8,0.2,0.07,2240.0,0.5,14.0,4.3,5.0,13720,13,1350,224,0.05,0.18,6.6,0.4,170000.0,0.31,466,0.3,0.02,0.117,116,16,17000.0,0.5,2480,0.6,38,24
13710,0.1,2.0,38.5,0.2,0.03,1898.0,0.5,16.0,4.8,4.0,15400,11,1496,122,0.05,0.08,7.3,0.5,150000.0,0.34,389,0.4,0.02,0.184,132,14,23000.0,0.5,2670,0.6,39,22
4370,0.05,1.2,20.4,0.1,0.04,1392.0,0.5,11.0,2.5,7.0,6820,6,793,77,0.03,0.05,4.1,0.3,120000.0,0.19,315,0.14,0.02,0.136,53,11,22000.0,0.5,1810,0.2,18,9
6600,0.15,1.5,20.0,0.1,0.02,1739.0,0.5,18.0,4.0,6.0,10740,6,1329,77,0.01,0.05,6.9,0.3,90000.0,0.19,414,0.12,0.02,0.365,82,15,14000.0,0.5,2170,0.3,28,11
3600,0.2,0.8,14.5,0.1,0.02,1044.0,0.5,10.0,2.1,3.0,7330,5,642,46,0.01,0.05,3.1,0.3,70000.0,0.14,230,0.05,0.02,0.3,46,10,9000.0,0.5,1720,0.2,18,6
6950,0.4,2.0,27.9,0.1,0.09,3230.0,0.5,17.0,5.5,20.0,11510,11,2590,134,0.01,0.05,11.0,0.5,90000.0,0.35,811,0.11,0.02,0.024,186,17,20000.0,0.5,1540,0.5,20,25
7130,0.08,2.1,27.1,0.1,0.05,3010.0,0.5,18.0,5.6,18.0,12110,11,2590,134,0.01,0.05,11.4,0.4,70000.0,0.35,770,0.12,0.02,0.034,185,17,13000.0,0.5,1600,0.4,20,24
6970,0.05,1.9,27.3,0.1,0.08,2880.0,0.5,17.0,5.4,17.0,11600,11,2510,130,0.01,0.05,10.7,0.5,100000.0,0.39,771,0.08,0.02,0.034,178,16,20000.0,0.5,1540,1.2,19,28
